979 1642
1 198 16232
1 712 22252
1 790 23603
2 767 19590
3 358 1415
4 417 12650
4 841 22860
5 63 492
5 166 29142
5 546 720
5 792 23317
5 913 10609
6 350 10793
7 157 27488
7 529 26527
7 770 14184
7 975 3473
8 261 16291
8 504 29586
8 845 23311
9 170 13073
10 587 16743
11 163 11073
11 511 25876
11 702 16243
11 727 32280
11 979 32408
12 740 3418
12 920 20349
13 572 9295
13 707 27113
14 18 31836
14 151 7755
15 331 3198
15 782 4711
16 145 13295
16 753 21348
16 762 12769
17 328 31649
17 591 14107
18 478 30303
18 576 19781
18 611 3715
19 136 780
19 352 23532
19 502 15795
19 536 10919
19 547 15141
19 839 3940
19 848 20274
20 221 19417
20 240 28164
20 909 13183
21 314 32715
22 192 17355
22 836 25726
22 954 32406
23 266 28766
23 280 1148
23 424 7949
23 524 23916
23 736 3369
23 886 4122
24 151 26098
24 311 16199
25 609 14522
25 722 13680
26 28 14301
26 641 31377
26 748 15792
27 860 30767
28 356 17
28 429 1588
28 437 30303
29 600 18646
29 654 5579
29 891 88
30 60 305
30 899 14444
31 561 32409
32 65 29758
32 121 28962
32 256 8533
32 287 1991
32 559 27563
32 775 17051
33 300 8073
33 350 18504
33 387 12094
33 675 7146
34 748 30011
34 801 13473
34 839 19380
35 486 363
35 598 25545
36 459 31401
36 550 24004
36 972 12615
37 504 28157
37 582 2369
37 719 13783
37 975 3731
38 78 31837
38 217 411
38 696 13299
38 795 1100
38 842 18822
38 923 21914
39 437 23936
39 685 30892
39 944 26038
40 265 26596
40 702 8571
41 234 18848
41 898 23228
42 79 7692
42 111 4644
43 721 9622
44 131 25266
44 132 12786
44 882 1062
45 205 20088
46 276 3500
47 580 3975
47 963 25615
48 655 25855
48 658 31779
48 929 22162
49 139 26989
49 587 1404
49 608 12890
50 105 25439
50 963 17412
51 284 14671
51 472 22111
52 290 27462
52 381 13410
52 936 18620
53 405 2104
53 706 944
54 321 31179
54 542 31750
54 678 13086
54 872 25765
55 360 4738
55 638 5608
55 865 26875
55 916 31053
55 944 15924
56 325 4826
56 633 8439
56 879 16795
57 664 8350
58 929 12576
59 361 13017
59 399 6715
59 505 4400
60 460 401
60 666 22163
60 747 20308
61 229 22246
61 530 3068
62 675 26114
63 106 25225
63 682 18907
63 786 9224
64 73 9157
64 120 30735
64 459 8800
64 522 3110
64 607 18840
64 622 28753
64 716 2461
64 917 25020
64 964 23806
65 242 20661
65 492 2943
66 313 28129
66 369 26262
66 375 24738
66 904 30247
67 164 19354
67 440 20709
67 519 1908
67 680 31495
68 156 26012
68 560 3145
68 568 13076
68 611 19405
68 693 7986
68 714 28221
68 767 23561
68 942 660
69 389 17626
69 622 26955
69 971 8174
70 166 17483
70 973 9898
71 485 10047
71 723 3787
72 411 4515
72 412 17609
72 741 23686
72 960 6826
73 144 8871
73 390 1044
74 228 960
74 537 30912
74 627 3834
74 721 9421
75 100 13581
75 456 2610
75 870 7433
76 369 12404
77 159 22593
77 777 15553
78 268 26705
78 368 15260
78 699 6584
79 195 1631
79 205 28156
79 257 22454
79 420 3884
79 521 10103
79 817 19011
79 913 1881
79 930 21749
80 359 7869
80 543 30038
81 392 390
81 710 28179
82 193 20684
82 459 19973
82 555 31826
82 854 24246
82 892 16267
82 969 26408
83 316 4012
83 886 2687
83 890 23975
83 934 10001
84 624 16625
84 765 22044
85 359 16110
86 266 22530
86 409 17896
86 434 3949
86 513 24775
86 547 13414
86 710 5410
86 777 10540
86 947 17127
87 259 4999
87 798 17820
87 924 4055
88 440 21427
88 597 24139
88 759 15933
89 166 8822
89 320 26685
89 546 3207
89 582 22789
89 716 23397
89 746 12534
89 937 10655
90 173 21019
90 326 16871
90 401 7694
90 881 27041
90 961 981
91 294 2717
91 954 29108
92 173 6532
92 573 2655
92 605 20159
92 721 2745
92 929 32439
93 710 12952
94 268 19656
94 349 9348
94 396 1603
94 527 14042
94 653 19515
94 708 2806
94 911 12233
95 151 30155
95 240 8849
95 346 12603
96 311 2218
96 673 3932
97 137 14936
97 235 4028
98 322 14916
98 624 30103
98 705 12768
98 796 31486
98 840 22925
98 877 27138
99 356 2988
99 616 10208
99 641 16574
99 779 31851
100 462 9684
100 949 11108
101 527 19988
101 698 19831
102 270 11006
102 337 11489
102 703 1795
103 315 19015
103 375 3917
103 423 14828
103 503 5693
103 713 7341
104 471 17420
104 562 3978
104 910 3352
105 416 6525
105 605 25747
105 767 23645
106 209 9963
106 644 27153
107 428 6352
107 458 15974
107 557 19709
107 575 26389
107 587 23647
107 614 20178
107 689 17691
107 808 9317
107 818 2952
108 179 4991
108 306 14471
109 154 11109
109 465 31042
109 477 23407
110 286 23639
110 862 1927
110 966 1449
111 773 3795
112 183 23614
112 405 27253
112 606 4587
113 470 22805
113 744 17874
114 396 17076
114 579 26011
115 948 6210
116 183 13733
116 802 2247
116 977 18749
117 122 18039
117 270 28068
117 295 4214
117 374 23399
117 391 11910
117 715 4920
117 821 32425
118 157 3750
118 303 25572
118 506 13997
118 669 7493
118 737 11897
119 465 31341
119 563 31841
120 650 9316
120 889 8066
121 392 29654
121 411 5544
121 450 27949
122 326 27846
122 792 17606
123 149 11775
123 378 11479
123 507 17504
123 764 17189
124 486 30564
124 828 27710
125 151 8159
125 665 20150
126 743 843
126 946 5589
127 268 13541
127 280 12365
128 197 16590
128 481 17128
129 654 15206
129 888 19145
130 151 28547
130 299 1552
130 386 16059
130 583 10012
130 836 13937
131 143 23449
131 432 12448
131 516 22957
131 902 1643
132 149 496
132 557 32239
132 635 19656
132 790 28729
133 183 27841
133 210 691
133 451 5848
133 496 28993
133 858 30244
134 357 4925
135 154 14843
135 234 3050
135 264 14606
135 573 21554
135 861 13704
135 896 6732
135 927 11505
136 148 17574
136 332 23781
137 347 14771
137 436 16897
137 466 10906
137 780 27022
138 203 5726
138 237 16733
138 456 4070
138 726 18081
139 152 30428
139 306 6043
139 647 21840
140 238 27427
140 581 17631
140 600 6373
140 817 27541
141 244 4807
141 277 15123
141 943 3777
142 156 3401
142 524 21921
142 663 405
143 186 27530
144 381 3306
145 172 1281
145 417 17353
145 540 7158
145 640 12434
145 767 24144
145 882 18536
145 928 17339
146 323 668
146 349 31765
146 358 32579
146 456 12048
146 745 10474
146 889 13462
146 953 20748
147 593 14656
148 349 27003
148 497 26624
148 909 26473
149 343 11691
149 364 28222
149 563 5611
149 655 12194
149 731 25879
150 229 23824
150 526 20976
150 701 9786
152 194 17934
152 297 1133
152 402 27463
152 578 20053
153 230 27934
153 296 9677
153 666 29654
153 702 30567
154 551 22654
154 697 16512
154 732 15336
155 300 2280
155 321 2164
155 532 4866
155 554 6364
156 598 27166
156 809 3500
157 550 24775
157 972 29711
158 365 18690
158 905 28103
159 178 616
159 224 3080
160 622 27646
161 334 29139
162 418 30343
163 255 24510
163 375 16748
163 681 17543
163 694 4278
163 883 26654
164 724 27758
164 768 22142
164 885 5844
165 509 12855
165 784 1821
166 787 7946
166 830 4027
167 184 3544
167 571 11178
167 670 5607
167 915 12908
167 951 18386
168 563 20364
168 817 14586
169 701 20726
169 889 14977
170 252 8221
170 328 6727
170 393 24855
170 723 2099
170 899 18934
171 308 12479
171 524 6870
171 913 19887
172 183 13916
172 217 276
172 372 4978
172 486 18046
172 528 23477
173 339 25604
173 472 3703
173 531 18891
173 653 26727
174 482 18801
174 846 4810
174 911 15250
174 949 1132
175 176 13180
175 408 23206
175 463 11314
175 902 12290
176 537 29460
176 655 25287
176 673 15576
176 791 1920
177 971 5948
178 211 20540
178 353 29210
179 437 11052
179 749 25872
180 749 28586
180 793 18286
180 882 10021
181 282 22452
181 532 2002
181 568 5913
182 519 28049
183 334 7791
183 632 4627
183 815 23037
183 898 13163
184 422 27605
185 458 30574
185 482 20841
185 744 2228
185 898 27646
186 199 14628
186 284 24957
186 590 22827
187 419 6795
187 454 17191
187 646 26845
187 790 15686
187 876 6885
187 914 4107
188 196 29275
188 682 7615
189 607 766
189 764 23498
189 919 9186
189 932 15067
190 364 14920
190 767 24297
190 770 25826
191 407 29054
191 575 30415
191 870 20420
192 620 18052
192 698 4109
192 814 12304
193 467 8692
193 501 6846
193 657 16698
194 358 15058
194 482 24376
194 486 18956
194 538 29938
194 896 24703
194 938 31615
195 778 23711
196 742 7160
196 916 16000
197 318 8783
198 601 29046
198 708 7604
199 729 14059
199 870 8295
199 901 8769
199 930 4313
200 765 16840
200 811 18727
200 891 28337
201 675 17545
202 439 8669
202 479 11287
202 763 31699
203 533 14545
203 770 1643
203 856 17158
203 893 11281
204 299 7691
205 347 15387
206 505 5303
206 585 15288
206 662 4485
206 677 12818
206 863 16112
207 373 23141
207 601 16547
208 397 17796
208 510 15614
209 956 10368
210 554 9491
210 673 9557
211 369 14895
211 879 7670
211 962 22467
212 819 1245
212 955 31284
213 218 1383
213 680 15095
214 308 2854
214 314 31036
214 352 26451
214 912 20434
214 931 11769
215 307 16643
215 330 18073
215 485 14897
215 558 29665
215 674 21267
215 691 14924
215 766 7121
216 583 10493
216 788 17746
217 221 26732
217 283 15844
217 386 5126
217 677 32316
217 738 25484
218 615 32633
218 709 4339
219 424 24984
219 630 28600
219 715 25211
219 931 9888
220 235 16603
220 697 24608
221 520 28890
221 577 59
221 602 19276
221 906 1142
222 799 27629
222 847 27043
223 493 15537
223 644 4046
223 837 3876
223 908 20243
224 452 3294
224 941 12010
224 959 15909
225 260 19515
225 488 5826
225 670 28931
226 354 15621
226 566 13053
227 300 21484
227 409 15724
227 472 12805
227 831 23413
228 834 16329
229 670 15487
230 350 13089
231 598 8069
232 464 31219
232 510 29522
232 772 7088
232 851 6263
233 571 2790
233 615 26705
234 251 13225
234 289 23876
234 559 4019
234 798 17353
235 336 23987
235 355 15302
235 402 30137
236 277 27839
236 284 12680
236 409 15659
237 299 26305
237 630 8039
238 243 24885
238 388 2674
238 778 740
239 499 28321
239 583 7649
239 704 14458
239 809 12957
239 896 25167
239 917 31476
240 868 29371
240 927 22463
241 647 9610
241 955 14649
242 359 20888
242 427 11134
242 579 1603
242 612 23854
243 791 11642
244 285 32657
244 343 7215
244 467 19349
244 803 20222
245 257 28860
246 569 10657
246 909 11797
247 308 27224
247 561 26409
248 691 2057
248 767 1107
248 805 11057
248 819 5813
249 580 14629
250 893 12146
250 940 5674
251 459 10511
251 783 3291
253 440 12018
254 644 29849
255 540 12182
255 656 27264
256 337 24300
256 536 6080
256 576 3025
257 346 8148
257 814 14573
257 871 22228
258 354 28167
258 424 31795
258 455 12116
259 684 24931
259 715 18340
260 415 17413
260 425 20839
260 844 28210
261 459 9034
261 706 14307
262 730 13063
262 843 11359
262 961 4725
263 283 8170
264 627 25072
264 785 2239
265 405 14088
265 528 13477
266 677 14457
267 628 18438
267 834 30401
268 270 8123
268 288 27630
268 294 14381
268 440 7979
268 511 22683
268 698 7127
268 901 23998
269 409 20283
270 892 12838
271 815 24826
271 954 29522
272 369 1451
272 888 20990
272 914 7860
272 917 11235
273 468 1415
273 593 10838
273 692 21520
274 444 16777
275 340 10964
275 386 1466
275 394 3974
276 369 10993
277 467 12378
277 714 17652
278 617 23739
278 816 7367
278 853 26519
278 918 14978
279 427 27033
280 292 28867
280 622 8681
280 888 12632
281 352 31500
282 433 19956
282 695 27362
282 716 4073
282 825 684
282 853 30036
284 501 10075
284 510 12256
284 536 26259
284 603 12017
285 426 24312
285 825 17980
285 833 4370
286 912 11802
287 329 13031
