944 1300
1 73 3566
1 181 14635
1 259 28252
1 577 25209
1 627 25022
2 102 18051
3 33 10428
3 326 1101
3 495 3671
3 501 31772
4 446 29286
5 334 30643
5 401 6493
5 803 4705
6 317 15911
6 611 16908
6 638 26509
7 432 16392
8 18 17729
8 252 2474
8 922 30779
9 95 23221
9 487 17008
10 462 15962
10 842 22827
11 112 237
11 277 18802
12 275 8389
12 541 29573
12 800 6300
12 850 9148
12 926 18730
13 136 9981
13 501 20633
14 89 14184
14 187 12680
14 246 4595
14 254 19543
14 358 17414
15 317 20962
15 857 561
16 174 5201
16 904 3046
17 678 28155
18 205 9573
18 387 14385
19 205 4048
19 846 14121
20 294 2464
20 706 25502
20 837 13618
21 38 22148
21 174 8280
21 224 5305
21 266 26254
22 186 30160
22 338 19219
23 828 30740
24 671 17991
25 127 12895
25 558 13387
25 734 14957
25 819 21350
25 820 7975
26 268 29037
26 411 19924
26 462 3548
27 825 16874
28 48 30386
28 732 27268
28 755 28425
28 919 6641
29 360 22767
29 416 15800
29 418 16198
29 779 18514
30 155 806
30 598 17143
30 653 32053
31 264 10317
32 170 23512
32 297 3894
32 439 18966
32 473 18516
33 53 5660
33 550 31626
33 592 28331
33 624 13350
33 846 8615
34 78 4077
34 369 18339
34 534 6769
34 868 31276
34 882 3957
35 203 25207
35 700 21925
35 876 9960
36 55 30928
36 418 31601
36 419 20006
36 421 14443
36 790 31519
37 393 29734
37 766 96
38 132 7470
39 82 1965
39 335 5341
39 519 22714
39 686 22598
39 725 11871
40 253 2730
40 574 11862
41 806 16095
41 888 15925
42 162 7436
42 201 13683
42 367 3521
42 416 29907
42 591 24695
42 600 7907
42 804 9013
43 403 3512
43 623 10022
43 891 5845
44 324 7079
44 381 11709
45 769 19126
46 194 15743
47 612 28209
47 674 258
48 216 23387
48 841 21302
49 917 5853
50 505 11375
50 658 10145
51 245 18622
51 326 9999
51 483 1866
52 420 32233
52 549 21448
53 243 4394
53 557 20925
53 836 24731
54 200 18994
54 255 20028
54 488 32027
54 501 10276
55 68 12140
55 328 19901
56 170 7985
56 193 12928
56 654 19482
57 322 27764
57 330 9990
57 791 22117
57 835 19785
57 847 12844
58 523 1873
58 851 25945
59 811 21494
59 895 29293
60 290 21105
60 456 29581
60 532 22820
60 727 8691
60 749 13973
61 471 5250
62 365 16605
62 706 30081
62 936 25107
63 320 19019
63 652 13225
64 74 15263
64 177 18771
64 277 3164
64 865 187
65 544 30165
65 553 28576
65 561 26887
66 458 6976
66 535 17356
67 129 1803
67 259 10073
67 412 9159
67 604 31820
68 530 477
68 603 9422
69 174 26905
69 183 15802
69 410 907
69 503 9382
69 564 4865
69 680 26551
69 849 4919
70 679 18293
71 94 18628
71 318 10582
71 515 27801
71 759 28475
71 892 6752
71 907 20236
72 115 3708
72 284 18271
72 360 22509
72 687 10349
73 215 20965
73 218 8101
73 520 9461
73 558 13454
73 616 18915
73 681 4141
73 853 2266
74 413 3540
74 884 1569
74 914 14785
75 125 7476
75 216 27392
75 458 29081
76 107 7494
76 380 814
76 581 16128
77 383 12443
77 448 9420
77 736 28060
77 750 28169
78 521 31828
78 682 14438
78 728 7238
79 142 22690
79 310 1486
79 659 25501
79 686 28155
79 717 18710
79 938 28232
80 149 31000
80 203 2032
80 222 3525
81 186 17457
81 359 31112
82 265 2363
82 435 14223
83 281 14043
83 327 4788
83 687 502
83 803 21033
83 901 27818
84 295 347
85 243 1546
85 324 413
86 206 9115
86 589 30435
86 740 26427
87 194 25548
87 387 2348
88 648 29730
88 889 13092
89 414 16013
89 626 18355
89 826 30531
90 112 23609
90 196 4420
90 238 9373
90 423 1472
90 580 16270
90 740 32499
91 458 23599
91 482 26401
91 541 21378
91 544 32097
91 779 25028
92 185 2367
92 763 5932
92 929 16402
93 286 16378
93 699 11813
94 216 10263
94 758 6970
95 271 16375
95 290 29815
95 406 30314
95 436 5614
95 668 26413
95 755 26950
95 759 16752
96 262 17945
96 897 24656
96 944 31125
97 99 14498
97 104 12728
97 412 27337
97 496 9632
