970 1340
1 422 20656
1 628 27548
2 28 24773
2 54 30277
2 365 4518
2 832 30211
3 4 27531
3 14 24426
5 462 16690
5 552 18956
5 558 26238
5 702 9762
5 816 13446
5 827 12191
6 100 31280
7 434 196
7 908 9874
8 12 10483
8 136 4413
8 184 30606
8 897 6189
9 522 6872
9 753 15206
10 75 29785
10 584 22364
11 129 12315
11 731 6607
11 824 18979
12 97 16567
12 635 30916
12 667 8119
12 896 28875
13 289 20127
13 323 7692
14 201 7240
14 202 28205
15 326 23779
15 668 6106
15 671 6983
16 327 12924
16 485 6668
17 581 27455
18 547 13852
19 461 29353
19 917 25819
20 25 31077
20 78 5402
20 289 24253
20 297 6213
20 701 8339
21 900 5408
22 595 19725
23 395 26816
23 611 11461
24 328 10926
24 446 22785
24 519 19639
24 628 15452
24 770 450
24 883 1295
24 898 8298
26 134 23374
26 616 28189
27 42 3073
27 92 26796
27 458 11205
27 546 6312
27 666 10760
27 835 23312
27 948 31016
29 197 1088
30 944 12089
31 227 12289
32 384 22043
32 875 22547
32 932 3073
33 183 19081
33 934 9487
34 44 6640
34 271 7136
34 386 891
34 431 15661
34 604 27913
34 930 23737
35 164 14599
35 637 27328
35 789 5005
35 872 8798
36 764 10293
36 881 26262
37 421 24059
37 826 18914
38 438 16128
38 479 20343
38 543 19415
38 797 4038
38 916 21235
39 554 8184
40 683 8613
40 917 15984
41 761 12245
41 815 18608
42 45 3563
42 84 2868
42 843 22365
43 793 10944
44 540 986
44 792 602
44 862 6644
45 193 10035
45 514 15136
45 933 6420
46 163 18638
46 455 26498
47 261 23319
48 100 12710
48 254 7791
48 528 9133
48 679 2644
48 696 6322
48 713 8066
49 459 28992
50 198 29391
51 680 13411
52 615 17192
52 651 17811
53 622 8886
53 934 5722
54 109 5711
54 417 1995
54 485 3341
54 941 16219
55 157 14741
55 366 16747
55 475 17153
55 840 4702
56 350 3039
56 401 13865
56 625 13640
56 799 22481
56 842 10294
57 69 9511
57 94 17941
57 205 541
57 413 20935
57 863 20266
58 577 27027
59 182 831
59 309 8449
59 436 10834
59 541 13866
59 714 17987
60 85 9808
60 651 27325
60 727 17298
60 776 24345
60 874 25608
61 369 4818
61 493 20495
61 941 3759
62 401 19068
62 680 13432
62 715 11802
62 743 29551
62 783 5574
62 869 1590
63 161 13024
63 312 32022
63 808 21050
64 621 19123
65 789 925
65 895 17331
66 297 23743
66 615 14747
67 234 23616
67 769 4680
68 231 1404
69 645 13048
70 501 7879
70 581 31041
70 716 5214
71 250 28500
71 551 17638
72 203 13574
72 282 912
72 714 19523
72 766 25565
73 179 16970
73 232 24300
74 84 199
74 113 23169
74 492 13506
75 123 8788
75 307 32464
76 628 5103
77 79 558
78 601 32163
78 708 30898
79 368 25924
79 931 15595
79 959 3700
80 620 1159
80 729 31121
81 153 11345
81 276 10126
81 420 279
81 647 20455
82 324 107
82 561 26758
83 391 13676
83 916 24970
84 320 31604
84 411 21534
84 806 3534
85 839 32554
86 232 12484
86 657 6089
86 659 13190
87 153 28700
87 647 1142
88 556 22050
88 783 7326
89 911 7070
89 955 20864
90 631 10049
91 264 10376
92 600 28929
93 344 26681
93 835 11533
94 120 12343
94 182 11655
94 589 14630
95 300 2082
95 656 18963
96 435 3220
96 747 32214
96 890 16778
97 433 12383
97 892 15464
98 164 23008
98 243 6083
98 474 2316
98 886 3932
99 199 14919
101 122 31346
101 266 25579
101 411 15800
101 505 19626
102 134 19601
103 584 21797
104 217 26189
104 307 29725
104 856 23565
105 773 21024
106 402 28750
106 444 1822
106 955 18878
107 376 19117
107 660 16633
107 857 5462
108 438 1401
108 793 6003
110 178 24313
110 259 14291
110 950 3098
111 290 32411
111 404 12311
111 523 1518
111 753 13130
111 791 17521
111 876 24467
112 164 5564
112 173 28605
112 371 31087
112 503 26158
113 126 28953
114 182 26126
114 581 1953
115 170 4018
115 615 6166
115 801 1484
116 232 4867
116 239 7333
116 626 11393
116 764 28771
117 189 2797
117 586 11465
117 875 9453
118 211 22112
118 700 13503
119 766 20329
119 956 3805
120 423 17649
120 764 20908
120 862 19036
120 930 29387
121 328 20060
121 398 21677
122 658 30850
123 405 13647
123 571 31145
123 633 29081
124 715 7474
124 769 20731
125 427 18091
125 576 25702
125 652 16089
125 890 24595
126 483 25041
126 669 31717
126 678 917
126 919 29661
127 160 13966
127 919 8768
128 430 29030
128 834 6300
129 186 7735
129 408 19832
129 764 24789
130 240 26066
130 529 18697
130 699 15436
131 230 13171
132 169 19048
132 425 16120
132 452 13472
132 476 900
132 531 32094
132 671 24150
132 754 6247
132 764 25763
132 869 25290
133 839 8050
133 885 32742
134 159 7190
134 373 644
134 480 17171
134 488 2500
135 219 17439
135 297 19070
135 325 6749
135 769 26729
135 894 20455
136 593 13047
137 876 12005
138 378 28199
138 889 1977
138 967 25061
139 186 19083
139 248 8985
139 539 3987
139 706 19504
140 364 22605
140 603 29710
141 563 29166
141 639 16785
141 655 27278
142 180 18501
142 640 32073
143 827 18813
144 259 16401
144 919 11324
145 431 1590
145 553 20033
145 575 402
145 810 8466
146 209 6919
146 503 28412
147 537 30383
147 816 11024
147 947 26949
148 161 13497
148 211 29116
148 442 18523
148 790 26288
149 283 3879
149 933 24960
150 277 31479
150 387 1056
150 831 23163
151 288 15003
151 434 5874
152 306 21744
153 207 14707
153 634 27015
153 636 22872
153 827 27963
153 847 26236
154 412 3470
154 552 14211
154 823 2539
155 804 5443
156 396 24991
157 236 23652
157 543 27141
157 728 2929
158 172 21560
158 634 5398
159 228 5935
159 375 21699
159 435 9008
159 587 8854
159 723 6903
160 693 4428
160 719 3238
161 282 21349
161 628 2929
161 676 4305
161 830 27308
162 392 13047
162 404 3573
162 569 15461
162 830 5234
163 908 2791
164 319 14869
164 366 135
164 552 15951
164 567 22323
164 621 11740
164 912 513
165 655 14846
165 918 18738
166 185 19789
166 366 32116
166 413 21490
166 779 6112
167 453 31681
168 753 24194
168 817 23061
170 216 7623
170 419 18093
170 587 16043
170 603 28503
170 790 10577
170 965 15133
171 318 18819
171 424 19246
171 735 17342
171 745 11248
171 764 30148
171 956 31174
173 186 18454
173 583 28485
173 839 14018
174 230 28154
174 327 3551
174 509 29599
174 641 22313
174 764 106
175 384 19632
175 596 1708
176 222 15983
176 547 10127
176 624 7659
176 962 8256
177 410 28362
177 458 24302
177 498 16767
179 290 21418
179 358 20607
179 750 32060
179 807 9477
181 284 7893
181 349 239
182 821 5943
182 824 21703
184 410 19914
184 778 13405
184 905 30407
185 457 29382
185 496 28397
185 613 10604
185 803 6370
185 942 25944
186 374 26015
187 575 15764
187 672 22998
187 793 22545
187 819 7570
188 206 28940
188 270 19492
188 628 659
189 476 27624
189 484 3354
189 690 28511
189 715 4029
189 919 28500
190 481 8708
190 930 17984
191 366 6006
191 803 2062
192 564 5401
192 847 2592
193 318 8906
193 899 45
194 385 4355
194 436 28368
195 693 11253
195 913 15047
196 760 29694
196 815 32091
197 656 28683
198 271 10338
198 300 24453
198 393 25264
198 401 9617
198 731 231
198 829 25110
198 939 30471
198 968 1609
199 358 2254
199 490 4672
199 557 4533
199 920 14306
199 969 24936
200 250 17757
200 717 10967
201 443 16433
201 792 28523
202 469 1248
202 907 26919
203 703 31377
204 274 25628
206 398 25464
206 885 520
207 388 8747
207 419 20951
207 763 5985
207 917 20134
208 282 17777
208 633 10517
210 799 4587
210 904 7253
211 313 4375
211 892 17303
212 464 5574
212 581 27144
212 735 1460
213 944 7436
214 554 24018
214 882 8439
214 926 27979
215 672 25978
215 832 8604
216 274 3388
216 364 6248
216 578 17149
216 584 29435
217 317 23532
218 839 27486
219 750 15870
219 964 31400
220 225 30401
220 300 13388
220 357 15806
221 411 27283
221 845 31783
222 640 30855
222 792 23463
222 807 3084
222 933 26253
223 878 13837
224 813 22743
224 957 6115
226 268 12589
226 406 24298
226 502 4524
227 492 16800
227 493 29522
227 558 12460
227 706 13436
227 730 5873
228 577 1591
228 586 13591
229 278 31795
230 759 9948
231 443 23291
232 498 22117
232 781 30729
232 837 133
233 366 7100
233 820 10010
234 523 22167
234 577 26101
234 719 6463
234 848 24986
235 405 31778
235 496 1783
235 564 27367
235 665 18557
235 709 15486
236 347 22946
236 582 9904
236 604 806
236 944 5661
237 342 21675
237 798 23223
238 323 5195
238 345 11228
238 434 20129
238 524 15379
238 548 24644
238 645 24448
238 744 24480
238 965 10258
239 664 32133
239 856 8154
240 255 30487
241 532 26385
242 267 5141
242 294 17404
244 270 28890
244 374 26996
244 504 27095
245 438 6853
246 906 21642
246 908 17235
247 262 26618
247 321 20189
247 497 16467
247 751 4055
247 839 1831
247 844 29778
248 256 4606
248 732 21855
249 822 28927
249 927 32736
250 655 9600
251 316 25089
251 658 27744
251 735 29232
252 444 9435
252 652 19647
252 811 27554
253 380 5903
254 474 4212
255 472 29056
256 354 11565
256 422 8626
256 900 1033
256 948 30442
257 548 28418
257 896 28705
258 651 3364
258 887 27062
259 447 25357
259 701 30297
259 896 18269
260 338 28065
260 758 21289
260 790 6428
260 848 2240
261 781 9111
261 811 9014
262 954 15289
263 283 6422
264 606 10292
264 632 22780
264 722 15085
265 518 16089
265 532 12554
265 680 29648
265 764 29290
265 929 25277
267 288 5750
267 307 23334
267 338 5639
267 509 9011
268 420 32332
268 822 16228
268 895 5492
269 941 4648
270 610 1629
270 662 7283
272 488 10764
273 794 16192
274 942 10780
275 518 16907
275 710 20843
275 903 9975
276 320 25853
276 656 3895
278 414 5567
278 704 27283
278 750 12894
278 901 24879
279 518 9253
280 360 21753
281 577 14548
281 821 22781
282 797 24516
283 292 25494
284 303 3621
284 609 13735
284 675 26515
284 898 6164
285 312 23128
285 833 30294
285 866 30359
286 348 27530
286 809 25425
287 596 29776
287 952 30730
288 512 25037
288 680 6260
289 508 2660
290 423 265
291 519 28934
291 529 17862
291 545 25509
292 679 17926
292 707 10245
292 813 12746
293 904 10151
294 468 5726
294 539 11669
294 600 14229
294 760 14903
294 797 17521
294 871 22857
294 945 10489
295 962 16137
296 818 14536
296 953 4821
298 415 15154
298 456 27040
298 944 805
299 385 6628
300 767 21321
300 855 20624
300 967 5904
301 452 17063
301 921 3405
302 377 20926
302 417 5144
302 430 9968
302 564 3672
302 919 25936
302 948 4273
304 965 1585
305 349 30485
305 402 14929
306 615 23694
307 674 2102
307 939 23437
308 525 18321
309 369 28632
309 830 1491
310 389 32560
310 544 21729
310 611 8607
310 740 25647
311 903 11062
312 397 28655
312 414 4281
312 927 31618
313 360 10372
313 864 11644
313 953 14645
314 434 12556
315 389 2151
315 536 8431
315 879 14556
316 843 3748
316 900 27411
319 742 26725
320 883 28609
321 379 26635
322 627 11516
322 668 7244
324 921 4959
325 415 5562
325 704 32259
325 903 22189
326 495 5209
327 417 504
329 780 737
329 889 25977
329 965 6547
330 717 163
331 375 3573
331 835 21528
332 515 30965
333 405 29637
333 512 27936
334 418 14327
334 835 27646
335 525 19191
335 935 10888
336 439 8325
336 664 30933
337 527 14256
337 550 20028
337 808 26930
338 850 17886
339 387 29800
340 467 22248
340 935 21921
341 485 28222
341 525 23296
342 671 12775
343 353 18266
343 591 7112
343 926 251
344 492 29544
344 643 14386
345 854 325
346 686 3258
346 904 25066
347 535 28478
348 497 26514
348 686 22302
348 852 31933
349 516 7028
349 595 17707
349 741 6704
350 432 20549
350 720 22563
350 855 17981
351 694 17630
351 931 22378
351 970 26967
352 367 12038
352 599 21074
353 649 13149
353 840 1135
354 383 24323
355 373 21006
355 407 4581
356 687 25859
357 738 16032
358 775 568
358 950 25473
359 782 18175
359 835 18394
360 600 28274
361 478 10907
361 610 30238
361 839 26604
361 842 7107
361 943 15234
362 845 14470
363 604 30934
363 733 16777
364 580 25541
367 460 7620
367 931 1716
367 941 28338
368 550 27029
368 721 24965
370 665 29318
370 784 25492
371 464 26058
371 647 16133
371 687 10840
372 409 18079
372 606 12381
372 642 7859
373 492 3420
374 377 32301
375 486 4497
375 576 24307
376 429 9459
377 558 1570
377 565 13849
377 663 1674
377 669 15475
378 404 22492
378 486 9669
378 899 19116
380 446 12297
381 760 28375
382 416 871
382 771 19913
383 941 28338
383 970 2706
384 731 17593
385 788 3458
385 790 24290
386 399 17957
387 608 9761
387 895 18473
387 896 7684
390 402 12864
390 827 16308
390 914 129
391 586 22300
391 657 6979
392 572 23160
392 839 17497
392 920 18210
393 598 30114
394 404 18852
394 517 22566
394 540 15591
394 633 31063
394 648 30343
395 500 15530
395 527 13575
395 814 17992
395 888 30455
396 871 13708
397 544 32340
397 957 31587
400 783 15537
401 490 14683
401 734 3896
402 755 21703
403 917 11888
408 576 30035
409 571 8062
409 712 1563
410 834 18819
410 888 14906
411 480 29150
411 540 5977
411 592 23422
411 602 18055
412 712 20384
413 946 18364
414 960 27750
415 630 11297
416 459 18281
416 599 1265
418 505 31019
418 534 11095
420 933 13146
421 722 16823
424 426 8284
424 729 18485
424 935 27551
425 824 2995
426 447 1843
426 783 3527
428 437 16652
429 488 31559
430 476 23107
430 575 15419
431 514 21587
432 536 12384
432 565 9621
433 441 25896
435 959 12445
436 437 26915
436 444 14228
436 797 3664
436 896 12071
437 595 27876
438 530 17966
439 731 24174
440 907 23811
440 923 28122
442 780 16188
443 553 28737
443 805 15778
444 483 31321
444 650 18590
444 666 2932
444 857 17515
445 567 29010
445 691 10782
446 689 20590
448 903 2571
448 935 27945
449 666 14090
449 810 29675
450 576 30138
450 838 31141
451 486 18886
452 658 17843
452 749 29420
453 945 25536
454 610 3937
454 649 26194
456 896 8262
459 671 6829
459 918 1038
459 932 27681
460 929 19500
461 513 3370
461 953 30720
462 776 8181
463 682 31302
464 800 2966
465 724 20366
466 621 12217
467 621 24509
469 682 26329
469 918 15745
470 484 22507
470 950 977
471 581 16130
471 891 1634
471 938 25468
473 796 24776
473 830 14757
474 554 3236
475 489 16835
476 706 25387
476 720 9695
476 786 5595
476 861 10598
477 738 3172
477 865 32077
478 761 8859
478 948 2518
480 575 24045
481 780 13010
481 799 24922
481 871 10830
482 871 21651
484 603 27463
485 673 14128
485 777 19727
487 667 2020
487 869 2162
489 768 7781
489 924 25986
490 776 30508
491 731 20083
492 927 21910
493 748 10216
494 622 17799
494 772 3134
495 670 22340
496 731 7320
496 917 29242
498 757 8318
499 572 17953
499 594 27055
501 681 13277
501 766 25841
501 925 15195
504 939 6483
505 544 1192
505 651 31113
505 658 19056
506 601 16663
506 751 18011
507 551 21935
508 515 27703
508 917 23940
510 801 18284
510 825 10464
511 941 30551
514 805 18967
514 957 11025
516 941 25939
519 634 11616
519 706 18681
519 781 18177
520 783 17510
520 946 16811
521 605 11881
521 879 29371
522 666 12767
523 600 32635
523 737 6704
524 739 18841
525 880 6938
525 907 6595
525 954 6733
526 792 27857
526 875 27299
526 936 10946
526 949 21176
527 593 13687
527 883 2227
527 942 22320
527 967 23862
528 860 26636
529 813 30968
530 795 1502
533 747 9968
536 821 30866
536 906 30955
537 565 23515
538 717 22456
540 628 31685
540 677 5564
540 700 14021
542 747 4152
544 617 29788
544 926 15257
545 669 20053
545 854 20840
549 636 25120
549 794 25999
549 889 25214
549 902 8927
550 735 11196
550 858 2327
551 652 31383
551 773 28112
551 850 8897
551 968 17358
552 662 2350
553 820 23804
553 845 21682
554 667 20525
555 663 6235
556 619 26345
558 587 31741
558 620 10908
558 628 26200
558 835 29212
558 896 17495
558 914 15250
559 942 26530
560 625 29762
560 847 32536
561 614 27340
561 668 14917
561 882 1412
562 654 15550
563 667 22105
563 922 19478
564 689 12868
565 756 14032
566 674 32631
567 938 31237
567 952 25059
568 868 5758
568 938 7306
570 897 9125
573 696 20801
574 637 17279
575 667 29499
576 688 24094
577 611 10670
577 694 13236
577 783 2362
577 820 16926
577 851 23991
577 897 29113
578 584 19778
578 736 31672
578 904 2046
579 911 31157
580 607 6281
580 844 13472
584 676 1280
585 645 11853
585 794 8
585 933 4250
587 653 30306
587 681 20684
587 767 16084
587 846 27759
587 941 23702
588 657 20547
590 627 21182
590 910 23676
591 632 7801
591 686 19395
591 842 23291
591 849 19442
591 935 21004
592 921 16674
593 930 27960
595 656 19141
597 781 25166
601 765 1893
601 772 10122
601 863 25539
601 941 14465
603 877 25581
604 824 26389
604 962 13876
605 705 12401
605 950 23817
610 770 17447
611 810 21518
612 657 8363
613 733 9242
614 749 15311
616 839 19953
618 760 30467
620 798 5547
623 624 10924
625 805 25811
625 930 8495
627 935 16205
628 819 23798
628 876 11996
629 651 418
629 890 14477
630 677 4961
631 834 12179
637 958 24336
638 863 21617
639 949 29393
640 875 22236
641 773 23572
641 963 6472
