978 1156
1 54 13310
1 419 22184
1 660 20397
2 49 8695
2 667 31004
3 628 27628
3 943 29791
4 327 17613
5 871 28564
6 145 4814
6 305 4381
6 948 25483
7 301 1784
7 437 27623
7 915 2269
8 147 26321
8 975 28268
9 84 27757
10 770 26698
10 774 17310
11 138 15732
11 389 28480
11 463 12221
11 573 29803
11 850 21320
11 863 9928
12 809 18879
12 890 28831
13 17 31070
13 577 18176
13 613 9533
13 761 6040
14 100 22346
14 442 12672
14 902 14309
15 106 24490
15 270 28229
15 500 6621
15 666 30885
15 875 17569
16 846 28114
17 935 21776
18 242 28506
18 632 31102
18 720 29255
18 743 31262
19 48 27231
19 183 22364
19 846 12441
20 175 17604
21 705 27514
22 384 23070
22 555 25717
22 638 3993
23 40 16780
24 508 32489
24 513 11216
24 736 29161
24 839 12190
24 864 8045
25 41 19880
25 332 25778
25 600 1545
25 768 1122
26 112 21343
26 952 31837
27 37 7820
27 915 19355
28 231 28779
29 95 6125
30 38 701
30 436 31573
30 551 1922
30 689 30715
31 109 19416
31 242 21246
31 651 30383
31 760 20778
31 770 1498
31 965 32300
32 284 31424
32 822 7125
32 963 4252
33 237 4277
33 825 28816
34 768 19183
34 878 3367
34 954 25174
35 170 30615
36 150 18040
36 378 8363
37 240 30020
37 301 27695
37 506 18192
37 525 30913
37 538 158
37 557 26176
37 626 11551
37 721 17457
37 754 27527
38 81 3610
38 267 1433
38 793 32273
38 974 2413
39 251 10759
39 336 25316
39 365 4844
39 460 23407
40 344 14667
40 676 16861
42 323 14916
42 634 30844
42 940 4359
43 817 5164
43 866 19338
44 239 30864
45 486 5688
46 260 30108
46 464 12811
47 723 16129
48 347 8653
48 400 5298
49 206 32455
49 325 26051
49 431 10967
49 435 1465
49 721 29002
49 891 10452
49 956 31563
50 60 15904
50 207 20770
51 576 2076
51 733 8859
52 119 17943
52 731 22192
53 458 10490
53 654 24654
54 362 18144
54 416 23647
54 465 7290
54 852 18597
54 872 12898
54 901 31275
55 406 19931
55 859 22194
55 932 16398
56 410 32413
57 82 18371
57 104 13043
57 145 4413
57 246 11538
57 407 7925
57 475 7874
57 662 4197
57 730 9025
58 602 6661
58 779 14811
59 244 23767
59 511 14104
60 112 11275
60 520 10752
61 611 12337
62 133 5033
62 823 22684
63 211 26565
63 975 3839
64 271 31943
64 428 27052
64 580 15355
64 748 24128
65 202 26318
65 648 28046
66 197 9283
66 788 2729
67 148 6974
67 589 22442
68 190 1147
69 108 7973
70 646 12383
70 712 24481
70 757 26790
71 278 10174
71 715 27850
71 883 10771
72 183 1317
72 714 16915
72 775 2364
73 196 24980
73 203 12602
73 419 5796
73 753 1318
73 772 22371
74 566 11924
74 973 30758
75 130 7353
76 111 32504
76 244 10928
76 377 29509
76 453 30302
76 639 7406
77 250 4727
77 562 25131
77 870 6563
78 223 800
78 240 20232
79 279 6634
79 290 5125
80 440 11296
82 167 27070
82 345 14803
82 738 17980
82 777 8353
82 871 295
83 299 3478
83 445 1096
83 702 3391
83 919 806
84 611 31021
84 699 6576
84 931 16898
85 224 5737
86 447 16381
86 470 25624
87 514 30187
87 598 28567
87 875 8827
87 901 17880
88 595 7636
88 739 26434
89 130 7521
90 338 17714
91 242 21827
91 292 29897
91 425 2514
92 120 19030
92 345 6559
93 368 11482
94 378 14511
95 760 22931
95 788 9139
96 208 18116
96 920 12689
97 232 15284
97 807 15202
97 842 10170
97 925 19208
98 132 31284
99 780 533
101 303 25886
101 387 14588
102 647 20757
102 963 7255
103 565 31854
103 570 29214
103 865 14746
104 201 26182
104 360 7040
104 487 9139
104 613 23861
104 650 28329
104 791 2515
104 822 5012
104 892 18533
104 975 27253
105 647 5670
105 851 2192
106 351 25874
106 658 12319
107 135 3159
107 181 28353
107 804 29531
108 423 5508
109 916 29872
110 395 17276
112 178 5694
113 462 20744
114 119 25528
114 446 31221
114 763 772
115 650 11294
116 202 22875
116 236 13069
117 601 27181
117 648 1933
