901 1421
1 38 18785
1 266 15788
2 511 559
2 516 30733
2 527 14590
2 568 23784
2 642 23611
2 843 10860
3 406 10772
3 426 4083
3 551 26525
3 568 19813
3 746 10770
4 304 22512
4 312 32165
4 780 18811
5 138 8628
5 403 16602
5 586 1412
6 9 26161
6 90 27605
6 702 20424
6 843 20047
7 658 16036
7 668 5483
7 814 31516
7 853 1967
8 174 26186
8 344 2805
8 566 4181
9 389 22217
9 431 14194
9 792 1272
10 609 4210
11 384 3409
11 833 32
12 311 12610
12 314 14008
12 315 27184
13 665 3479
14 252 10597
14 328 5555
14 432 5358
15 129 27124
15 875 24253
16 173 23928
17 409 29992
17 901 30605
18 328 24171
19 88 7360
19 254 1805
19 434 28422
19 549 31282
19 681 12602
20 130 19132
20 133 12058
20 210 30000
20 230 16189
20 428 24120
20 599 5421
20 608 23607
20 622 12104
20 628 30344
20 637 17272
20 639 623
20 671 13258
20 719 7540
20 818 14871
21 60 22101
21 481 23461
22 28 29832
22 123 17995
22 245 17027
23 252 25751
23 331 925
23 539 9121
23 542 21126
24 576 7335
25 273 23841
25 518 10057
26 79 1911
26 101 5995
26 412 14256
26 771 869
27 203 11154
27 824 29771
28 357 26789
29 143 17867
29 276 24881
29 387 750
29 420 11622
29 481 19182
29 552 6109
29 829 9793
30 228 20758
30 323 1113
30 425 20480
30 449 22569
30 719 3808
31 351 4008
32 240 24474
32 499 20797
33 108 17336
33 237 25596
33 548 1557
34 262 4033
34 344 14112
34 445 10321
35 120 31986
35 852 14179
36 340 23072
36 366 12371
36 378 32764
37 504 6480
38 409 3017
38 783 32509
39 300 5305
39 302 31534
39 315 8279
40 595 23891
40 596 27720
41 168 4313
41 242 32648
41 502 19517
41 622 17560
42 46 13432
43 76 5774
43 689 1248
43 823 3456
44 73 22329
44 461 19829
44 672 30585
45 489 9081
45 578 16002
46 185 551
46 243 24170
46 317 18912
46 427 6881
46 476 11037
46 512 12793
46 655 24726
46 825 10189
46 826 21218
46 884 25475
47 56 9771
47 229 10088
47 615 16287
48 258 11914
48 687 30035
49 114 31088
49 356 17266
49 695 3458
49 792 12507
49 794 22069
50 670 15103
51 829 11487
52 175 2414
52 334 26773
52 550 3986
52 698 1106
53 325 18060
53 486 12373
54 72 15535
54 157 18403
54 306 5611
54 452 24903
54 885 2352
55 607 19436
55 852 13045
56 781 17168
57 335 8388
58 60 6150
58 689 12643
58 773 293
58 841 6632
59 401 4468
60 242 27931
60 727 30947
61 205 5261
61 327 20361
61 351 8778
61 445 1070
61 568 17645
62 338 12165
62 531 12774
63 195 3469
63 273 24489
63 393 2187
63 581 15334
64 129 8329
64 547 24333
65 107 22079
65 205 22069
65 277 27243
65 352 30045
65 707 1153
65 808 29077
66 807 23640
67 277 12304
68 340 9396
68 448 6821
68 646 18503
68 654 9358
69 195 23762
69 423 21256
69 529 689
70 285 5342
70 452 7000
71 434 1639
71 484 26916
71 794 26382
71 819 18359
72 524 23480
72 561 7363
73 92 16685
73 100 7796
73 546 23127
74 107 9562
74 269 17646
75 480 6722
75 664 27335
76 412 4188
76 442 15496
77 350 29485
77 488 4702
77 674 31071
78 335 25902
79 653 5103
79 691 18611
79 797 11911
80 263 11402
80 790 18890
81 529 10652
81 810 27599
81 842 30184
82 246 19271
82 259 9098
82 319 31797
82 656 22095
82 709 32099
82 799 1422
83 139 21067
83 320 31660
83 630 7303
84 159 8760
84 310 9008
85 140 3220
85 148 20791
85 159 9166
85 179 13485
85 566 25895
85 633 118
85 650 8564
86 305 24737
86 476 15194
86 810 32214
87 129 10549
87 203 22331
87 692 10148
87 774 1847
88 154 32704
88 526 32556
88 832 14125
88 844 30812
88 865 29300
89 156 24379
89 425 727
89 750 31946
89 821 13359
90 332 24075
91 95 12191
91 225 14790
91 303 20544
91 355 7912
92 537 29391
93 104 26497
93 118 1060
94 574 21122
95 180 28289
95 454 23302
95 790 4798
96 361 25116
96 698 3631
96 827 29320
97 511 19728
97 750 2208
98 455 178
99 105 6148
99 236 24434
99 733 10419
99 851 4302
100 778 18148
101 418 29576
101 591 19809
101 674 27715
101 774 11802
101 777 32753
102 253 22423
102 556 11676
103 233 16820
103 244 14344
103 384 6125
103 564 18894
104 159 7059
104 323 4595
104 688 16148
104 786 22239
105 377 7850
105 683 4522
105 797 24325
106 122 25541
106 209 12705
106 211 18737
106 879 2296
107 677 26488
108 532 15032
108 772 16838
109 195 13889
109 234 21356
109 517 22470
109 634 16294
110 153 16988
110 572 17522
110 593 29856
110 841 5437
111 323 28398
111 329 16640
111 538 15451
111 572 29160
111 598 27852
111 753 12981
111 784 27722
111 831 65
112 588 29799
113 481 8493
114 612 20070
115 257 18727
115 416 17535
115 531 7773
116 784 19096
117 167 15229
117 344 31610
117 663 20385
118 446 12360
119 560 8165
119 649 112
119 749 17635
119 766 23144
120 306 29444
120 323 32511
120 440 4865
121 797 30666
122 689 1386
122 882 2796
122 899 21314
123 217 32335
123 521 1741
123 776 473
124 279 28785
124 388 6299
124 424 1583
124 607 30610
124 626 8319
124 655 25940
124 765 18289
124 817 18603
125 239 9129
125 560 16585
126 127 31291
126 499 10778
126 846 13801
127 463 25802
127 497 19349
128 587 2684
128 608 29515
129 392 13818
129 846 29434
129 874 2389
129 894 16832
130 270 2297
130 308 25833
130 652 19444
130 865 11292
131 443 10446
131 510 13233
131 665 11744
132 147 27758
132 656 13767
134 634 29137
134 642 28887
134 866 27967
135 554 26163
135 582 9825
135 738 182
136 409 16999
136 572 5527
136 652 18209
137 247 12984
137 403 18907
137 787 21003
139 498 8556
139 874 28837
140 576 10777
140 724 4774
141 177 20639
141 323 10821
141 342 14536
141 458 3308
141 743 10176
142 322 11478
142 665 20001
142 719 3230
143 314 18335
143 651 20851
143 805 17804
144 153 15886
144 256 18237
144 612 1716
145 618 14922
145 644 13176
145 650 12028
145 828 9375
146 308 12817
146 414 16257
146 645 8558
147 258 14840
147 583 7075
147 711 28984
148 441 2299
149 474 12137
149 873 25176
150 617 7527
150 890 13879
151 429 22088
151 599 7613
151 623 15660
152 156 29555
152 481 4884
154 274 1447
154 625 25505
154 629 14879
154 756 8047
154 866 12830
155 583 25894
155 656 19409
155 717 21153
155 817 26331
157 769 22862
158 717 4514
158 810 13068
159 425 24667
159 468 3976
159 519 22496
159 857 6189
160 479 15315
161 456 5005
162 539 22027
162 720 14199
162 725 24153
163 271 18353
163 315 25604
163 495 13326
163 697 18865
164 219 30565
164 589 22387
165 243 28710
165 837 30228
166 223 24079
166 255 26717
166 481 28596
167 548 5578
168 308 18337
168 447 4710
168 577 29358
169 257 11172
169 645 10900
170 593 6287
170 632 23169
171 238 23917
171 447 10582
171 575 3931
171 883 22512
171 895 16823
172 288 23412
172 334 31286
173 205 13723
173 249 26020
173 495 5774
174 324 27209
174 392 17488
174 550 26695
174 616 25395
174 646 13831
175 306 11127
175 314 18907
175 452 17773
175 505 23670
175 825 11635
176 760 9446
176 855 24305
178 225 1667
178 306 30027
178 361 30728
178 494 2832
178 823 20386
179 208 24237
179 786 25784
180 196 15741
180 427 783
180 510 25784
181 571 13180
181 813 10407
181 900 20879
182 219 11750
182 635 20904
182 636 28871
183 216 5517
183 248 11380
183 500 17228
183 697 27339
183 716 5553
184 188 30791
184 198 29202
184 241 31718
184 684 20263
184 899 13904
185 630 23742
186 224 11415
187 223 29984
187 752 15809
188 761 13529
188 879 25721
189 259 32438
189 750 7146
189 779 29587
190 743 26878
190 796 16339
191 398 32490
191 414 16889
191 890 1543
192 464 29933
192 608 17980
193 792 4269
194 251 12426
194 253 10243
194 269 1315
194 873 29994
194 885 32736
195 236 5349
195 329 16070
195 541 4653
195 581 27909
195 755 30666
196 559 15570
197 352 27091
197 354 20987
197 380 3541
198 272 31486
198 372 30704
198 427 11708
198 845 20171
199 329 21217
199 457 5255
200 434 24315
201 590 7846
201 786 19590
201 808 16077
202 285 11936
202 570 10597
203 212 693
203 481 13498
203 568 19824
203 597 23433
203 774 11928
204 594 27500
204 722 9070
204 764 23935
205 516 3485
205 552 23541
206 341 21090
206 431 19462
206 568 6522
207 748 13474
208 259 25161
208 266 20911
208 427 15680
208 517 12196
208 790 31161
208 824 9336
209 340 7190
209 552 16051
209 816 11231
210 720 29170
211 330 3031
211 617 3758
211 818 5325
213 413 12392
213 875 32221
214 298 4298
214 519 966
215 322 30784
215 367 31175
215 489 14284
217 294 12466
217 481 6233
217 774 21117
218 365 20736
218 451 31595
218 657 26094
218 667 4708
218 773 29326
219 313 2877
219 353 20760
219 543 24602
219 592 31054
219 848 1544
220 641 18226
221 263 25975
221 430 23886
221 754 20423
222 232 23823
222 459 401
222 477 24717
223 598 30107
224 428 12028
224 436 15127
