95 147
1 7 66
1 9 84
1 34 39
1 36 58
1 38 19
1 79 23
1 94 78
2 35 34
2 42 43
2 79 19
2 86 57
3 16 89
3 36 84
4 24 71
4 33 88
4 63 19
4 63 70
4 65 25
4 82 28
5 17 66
5 22 10
5 38 10
5 63 69
5 88 94
6 77 18
6 79 76
6 95 83
7 42 96
7 69 12
8 16 14
8 32 82
8 32 64
8 52 82
9 11 78
9 29 28
9 66 65
9 92 33
9 93 40
10 41 10
10 79 39
11 20 28
11 39 28
11 46 97
11 54 57
11 73 59
12 14 91
13 19 65
13 72 34
14 43 20
14 71 11
14 71 82
14 81 15
14 86 65
15 48 10
15 54 50
16 86 70
18 19 67
18 57 28
18 59 44
19 26 49
19 30 71
19 33 68
19 36 11
19 52 48
19 54 78
19 80 62
20 45 51
20 87 61
21 31 29
21 35 66
21 45 99
22 27 99
22 85 79
23 42 32
24 50 40
25 61 10
27 76 41
28 60 52
29 41 66
29 67 45
29 92 50
30 76 34
30 84 1
31 36 60
31 88 81
32 75 70
33 60 81
33 63 54
33 65 95
33 75 13
33 85 83
33 90 49
34 46 78
35 39 3
35 47 71
35 77 92
35 88 81
36 70 31
36 76 92
36 86 71
37 86 4
38 87 52
39 42 73
39 61 71
39 86 70
40 65 77
41 73 44
42 86 34
43 74 71
43 91 43
44 55 91
44 62 88
44 84 34
44 95 16
45 47 50
46 95 11
47 84 99
48 84 25
49 81 62
50 57 95
50 58 97
51 53 32
53 76 42
53 84 4
54 58 44
54 64 45
55 95 28
56 78 38
56 88 10
59 67 66
59 68 30
59 70 3
59 83 1
60 93 67
63 95 43
64 81 50
65 66 31
67 72 60
67 80 30
68 69 94
70 95 46
72 83 94
74 95 3
78 92 81
82 83 35
84 89 4
90 94 57
45 99
1 2 3 5 7 14 15 17 18 22 24 26 35 36 41 47 48 52 54 57 59 60 61 62 63 64 65 66 69 73 74 75 76 78 79 80 81 82 83 84 87 90 91 92 95 
74 38
94 52
13 9
39 68
77 83
24 42
9 31
85 53
55 70
11 95
81 70
32 66
10 86
5 16
44 48
39 51
16 52
39 34
85 81
87 57
26 67
29 37
54 82
31 30
83 84
82 93
66 15
71 22
50 55
2 93
19 66
64 7
84 13
85 76
42 24
30 36
74 3
26 11
73 19
49 89
11 58
6 52
11 80
31 35
72 18
72 66
86 30
13 63
65 92
51 79
4 51
43 88
56 70
61 21
87 14
82 92
51 16
84 37
34 62
10 76
18 89
47 23
70 70
76 27
30 84
51 91
54 61
77 22
11 92
3 8
34 50
28 57
42 20
60 70
65 56
92 65
16 94
44 27
51 15
47 67
39 24
36 15
16 19
46 39
62 23
26 43
16 90
36 24
83 73
85 45
12 15
20 4
74 7
88 67
30 48
65 88
61 67
55 11
46 74
